OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,Headline,Description,ImageUrl,Link,MIndexBase
2595dc21df8,3980793,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,"ফরিদপুরে এনসিপি নেতার কারাদণ্ড, দল থেকে বহিষ্কার","নিজস্ব প্রতিবেদক, ফরিদপুর ফরিদপুরে অবৈধ...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2595dc21df8&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25932e6ef71,3980794,6,510811,দেশ – ঢাকার চারপাশ,1,25/09/2026,কালিয়ায় দুই পক্ষের সংঘর্ষে আহত ভ্যানচালকের মৃত্যু,"প্রতিনিধি, নড়াইল  
 নড়াইলের কালিয়া উপজে...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25932e6ef71&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510811&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2590ec89a4e,3980815,6,510815,খবর,1,25/09/2026,হিসাবের বাইরে অস্ত্র–গুলি রেখেছিলেন জিয়াউল,"নিজস্ব প্রতিবেদক, ঢাকা মেজর জেনারেল (অব...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2590ec89a4e&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2599897bb53,3980817,6,510815,খবর,1,25/09/2026,এবার দুর্যোগপূর্ণ আবহাওয়ায় কমেছে গ্যাসের সরবরাহ,পেট্রোবাংলার বিজ্ঞপ্তি দুর্যোগপূর্ণ আবহ...,https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2599897bb53&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259ffb68cba,3980818,6,510815,খবর,1,25/09/2026,ফ্যাসিবাদের পুনরুত্থান হলে কেউ রক্ষা পাবেন না : রিজভী,"বিশেষ প্রতিনিধি, ঢাকা আগুন-বোমাবাজি ও স...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259ffb68cba&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2595d1e1b0d,3980819,6,510815,খবর,1,25/09/2026,গুলিস্তানে আবার হকারমুক্ত সড়কের ঘোষণা,"নিজস্ব প্রতিবেদক, ঢাকা রাজধানীর পল্টন ম...",https://epaper.prothomalo.com//img/logo/logo.png,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2595d1e1b0d&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
2598f6c853e,3980820,6,510815,খবর,1,25/09/2026,"এনসিপি ও ছাত্রদলের হাতাহাতি, আহত ৮","নিজস্ব প্রতিবেদক, নোয়াখালী নোয়াখালী–৬ (...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=2598f6c853e&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259538184a7,3980821,6,510815,খবর,1,25/09/2026,গাজী নজরুল আবারও ৪ দিনের রিমান্ডে,"নিজস্ব প্রতিবেদক, ঢাকা দ্বিতীয় স্ত্রী ম...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259538184a7&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
25949a870df,3980812,6,510815,খবর,1,25/09/2026,জ্বালানি তেলের দাম ভারসাম্য রেখে সমন্বয় করা যেত : এবি পার্টি,"নিজস্ব প্রতিবেদক, ঢাকা আমার বাংলাদেশ পা...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=25949a870df&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
259244bd012,3980813,6,510815,খবর,1,25/09/2026,ডিএনসিসির মশার ওষুধ কেনায় অনিয়মের প্রাথমিক প্রমাণ পেয়েছে দুদক,"নিজস্ব প্রতিবেদক, ঢাকা ঢাকা উত্তর সিটি ...",https://epaper.prothomalo.com//img/sharelogo1.jpg,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=259244bd012&eid=1&imageview=0&epedate=25/09/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=25/09/2026&sedId=1&pgid=510815&isProductPanel=true&MagazineEdID=0&MagEdDate=25/09/2026&isIssueRefresh=False&uemail=1169c825b8
