OrgId,StoryId,PageNo,PageId,PageTitle,EditionId,EditionDate,MShareArticle,MIndexBase
162f84dfb8a,3922205,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f84dfb8a&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162cbb9f596,3922207,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162cbb9f596&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162f873842b,3922208,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f873842b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162f7ce7f29,3922209,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f7ce7f29&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162c513602e,3922210,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162c513602e&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162dad2c127,3922211,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162dad2c127&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1623b4f1947,3922212,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1623b4f1947&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1624b16f101,3922213,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1624b16f101&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162cc1c1a2d,3922206,4,497981,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162cc1c1a2d&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497981&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162417a7ed7,3922214,5,497982,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162417a7ed7&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497982&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1620da169d4,3922215,5,497982,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1620da169d4&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497982&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1620a13c0d0,3922216,5,497982,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1620a13c0d0&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497982&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162c4123d5b,3922218,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162c4123d5b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162c7d39d5e,3922219,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162c7d39d5e&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162bf8aca31,3922221,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162bf8aca31&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16283538d2d,3922222,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16283538d2d&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162d3e8888d,3922223,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162d3e8888d&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162fd8fe262,3922224,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162fd8fe262&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162fb4d7aea,3922225,6,497983,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162fb4d7aea&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497983&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16291a3f04e,3922228,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16291a3f04e&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162f816103b,3922229,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162f816103b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1623a01172b,3922230,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1623a01172b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
16242cffdfd,3922232,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=16242cffdfd&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1628e44c8e0,3922233,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1628e44c8e0&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
1622672aa48,3922234,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=1622672aa48&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162d654b121,3922227,7,497984,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162d654b121&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497984&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162ca78ed6b,3922235,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162ca78ed6b&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162459c233e,3922236,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162459c233e&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162fcf2455f,3922237,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162fcf2455f&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162bd56b9b1,3922238,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162bd56b9b1&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
162fa272ab1,3922239,8,497985,Page,1,16/02/2026,https://epaper.prothomalo.com/Home/MShareArticle?OrgId=162fa272ab1&eid=1&imageview=0&epedate=16/02/2026&sedId=1,https://epaper.prothomalo.com/Home/MIndex?eid=1&edate=16/02/2026&sedId=1&pgid=497985&isProductPanel=true&MagazineEdID=0&MagEdDate=16/02/2026&isIssueRefresh=False&uemail=1169c825b8
